,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,Temp,Windspeed
23,sao jose da coroa grande,75,JP,1569648299,57,35.74,139.53,84.0,80.49,10.29
24,cherskiy,91,NZ,1569648348,84,-46.19,168.86,53.01,53.01,18.99
25,umzimvubu,94,RU,1569648204,78,73.51,80.55,34.33,34.33,10.74
26,hay river,8,AU,1569648349,27,-23.58,149.07,86.37,86.37,0.96
27,new norfolk,34,AU,1569648349,55,-32.72,152.14,66.99,65.82,19.46
28,nishihara,36,KI,1569648063,63,3.07,172.79,85.41,85.41,7.54
29,mataura,75,ZA,1569648257,82,-33.02,27.91,64.4,64.4,12.75
30,dikson,62,ID,1569648350,66,-8.11,115.08,82.39,82.39,5.21
31,bluff,79,FO,1569648350,93,62.23,-6.59,51.8,51.8,2.24
32,nelson bay,4,ZA,1569648270,11,-30.97,22.13,64.59,64.59,9.98
33,butaritari,90,CL,1569648350,100,-42.48,-73.76,48.2,48.2,18.34
34,east london,39,PF,1569648351,79,-23.12,-134.97,73.48,73.48,8.37
35,singaraja,75,BN,1569648219,66,5.28,115.24,89.6,88.3,3.36
36,klaksvik,63,BR,1569648352,91,-8.14,-36.37,64.14,64.14,5.77
37,carnarvon,99,RU,1569648352,96,56.71,58.05,32.76,32.76,8.14
38,castro,90,CA,1569648352,59,55.74,-97.86,35.6,35.6,10.29
39,rikitea,78,KE,1569648352,45,3.12,35.6,82.84,82.84,11.54
40,meyungs,100,ZA,1569648353,77,-34.53,20.04,64.99,64.08,13.87
41,victoria,1,US,1569648353,87,39.31,-74.98,70.0,63.43,5.39
42,vaitupu,29,ZA,1569648353,92,-33.59,26.89,66.99,66.99,1.01
43,brejo da madre de deus,100,AU,1569648354,14,-20.74,116.85,89.1,89.1,10.6
44,ufimskiy,90,RU,1569648354,93,44.93,38.37,57.0,55.99,8.95
45,thompson,64,BR,1569648354,88,-17.73,-39.27,73.3,73.3,6.85
46,lodwar,85,AO,1569648355,87,-12.58,13.4,72.62,72.62,14.61
47,bredasdorp,69,PE,1569648355,84,-12.95,-74.02,46.81,46.81,2.53
48,port elizabeth,75,KR,1569648355,78,35.24,129.21,77.0,77.0,9.17
49,port alfred,0,AU,1569648356,60,-31.65,116.67,71.6,71.6,8.05
50,karratha,75,AU,1569648356,38,-42.88,147.33,59.0,57.4,14.99
51,krasnooktyabrskiy,100,GL,1569648356,46,77.48,-69.36,38.25,38.25,11.95
52,caravelas,90,US,1569648356,88,34.64,-120.46,68.0,63.9,4.7
53,benguela,60,RU,1569648357,79,61.51,38.95,37.46,37.46,2.64
54,tambo,0,GY,1569648194,100,6.8,-58.16,75.2,75.2,5.17
55,kijang,40,US,1569648357,78,22.08,-159.32,82.4,81.25,6.93
56,northam,0,CL,1569648358,81,-29.95,-71.34,50.0,50.0,6.93
57,hobart,5,AR,1569648358,37,-46.43,-67.52,55.25,55.25,17.31
58,qaanaaq,90,CA,1569648358,100,70.47,-68.59,35.6,35.6,3.36
59,lompoc,0,GL,1569648033,80,60.14,-45.24,39.64,39.64,1.9
60,kargopol,0,AU,1569648359,28,-31.97,141.45,69.8,69.8,4.7
61,georgetown,30,BR,1569648359,88,-25.4,-51.46,52.35,52.35,6.62
62,kapaa,0,CL,1569648062,81,-53.16,-70.91,42.8,42.01,5.82
63,coquimbo,0,AU,1569648360,37,-33.64,115.35,73.99,71.55,13.13
64,mar del plata,20,CY,1569648360,73,34.92,32.53,73.4,72.61,5.82
65,clyde river,99,RU,1569648361,84,63.79,74.5,35.81,35.81,4.76
66,armacao dos buzios,25,GL,1569648361,73,72.79,-56.15,41.17,41.17,10.11
67,gardan diwal,40,MZ,1569648361,88,-23.87,35.38,68.0,68.0,14.99
68,nanortalik,45,AU,1569648362,47,-24.87,152.35,80.6,79.9,16.11
69,broken hill,0,ZA,1569648362,82,-33.93,18.42,64.0,62.44,3.36
70,guarapuava,71,PH,1569648362,75,8.0,124.29,86.0,86.0,8.01
71,punta arenas,90,US,1569648363,74,64.86,-147.8,42.8,40.28,2.1
72,busselton,2,VE,1569648363,93,9.31,-64.36,71.48,71.48,3.6
73,lasa,0,MR,1569648363,88,20.93,-17.03,68.0,68.0,19.46
74,muravlenko,40,IN,1569648364,78,15.34,74.49,75.2,75.2,9.17
75,upernavik,100,MX,1569648364,79,19.84,-90.54,83.67,83.67,22.21
76,inhambane,40,MU,1569648364,65,-20.34,57.76,77.0,77.0,14.99
77,jahrom,20,CA,1569648365,73,69.44,-133.03,35.6,35.6,5.82
78,bundaberg,71,IN,1569648365,56,32.25,77.19,47.13,47.13,5.32
79,cape town,89,UY,1569648365,80,-33.69,-53.46,55.18,55.18,11.52
80,marawi,17,PT,1569648366,77,41.42,-6.55,53.56,53.56,2.33
81,college,40,VU,1569648366,61,-19.55,169.27,80.6,80.6,9.17
82,illoqqortoormiut,54,GF,1569648366,79,5.38,-52.96,82.35,82.35,17.2
83,cantaura,0,FI,1569648367,100,61.56,23.6,37.4,35.71,5.82
84,nouadhibou,1,BR,1569648367,55,-10.34,-67.19,75.12,75.12,0.96
85,vaini,6,NA,1569648070,23,-18.06,13.84,68.5,68.5,5.21
86,camana,0,AR,1569648367,62,-24.82,-65.48,64.4,60.49,2.91
87,campeche,98,IS,1569648368,89,64.25,-15.21,38.0,38.0,24.38
88,bambous virieux,0,NO,1569648368,71,64.07,11.22,54.0,53.37,13.87
89,tuktoyaktuk,42,BW,1569648037,18,-18.36,21.84,62.23,62.23,6.08
90,manali,1,US,1569648368,93,39.62,-77.74,69.01,64.15,4.61
91,chuy,100,RU,1569648026,78,60.47,166.1,39.26,39.26,8.01
92,saldanha,90,CA,1569648369,77,45.36,-73.48,64.4,60.55,9.17
93,isangel,90,US,1569648369,76,40.6,-124.16,55.0,52.11,8.05
94,amderma,90,CA,1569648370,93,49.78,-74.86,51.8,51.8,9.17
95,sinnamary,75,JP,1569648370,65,35.03,136.69,84.99,81.72,12.75
96,ylojarvi,41,RU,1569648370,77,66.83,70.83,35.65,35.65,0.34
97,placido de castro,63,RU,1569648371,69,54.48,46.71,44.43,44.43,8.77
98,opuwo,11,BR,1569648371,87,-22.97,-42.02,68.93,68.93,11.92
99,atocha,91,ZA,1569648007,84,-34.0,24.73,64.46,64.46,6.4
100,hofn,100,RU,1569648372,96,69.7,170.27,36.29,36.29,17.67
101,malm,100,RU,1569648372,99,64.42,-173.23,41.4,41.4,4.79
102,shakawe,65,AO,1569648250,89,-15.19,12.15,69.09,69.09,14.07
103,vardo,94,RU,1569648079,76,71.97,114.09,32.78,32.78,8.75
104,tilichiki,40,US,1569648373,88,30.04,-94.42,82.99,79.47,4.7
105,saint-philippe,73,MV,1569648225,68,5.67,73.0,83.27,83.27,6.98
106,envira,29,RU,1569648023,73,67.55,63.78,33.61,33.61,4.59
107,fortuna,91,PH,1569648374,75,13.8,121.11,86.0,86.0,5.99
108,chapais,1,PT,1569648374,87,38.52,-28.7,72.85,72.85,19.98
109,fukue,0,RU,1569648375,86,50.68,156.12,47.42,47.42,14.16
110,yar-sale,71,MV,1569648375,79,-0.6,73.08,81.92,81.92,19.77
111,surskoye,0,GF,1569648223,94,4.94,-52.33,75.2,75.2,6.6
112,asfi,90,LK,1569648375,94,6.12,81.12,80.6,80.6,1.12
113,arraial do cabo,66,GB,1569648013,100,60.4,-1.35,51.8,51.8,13.87
114,kruisfontein,29,NZ,1569648376,78,-44.7,169.14,45.15,45.15,9.89
115,pevek,1,US,1569648018,81,41.76,-70.08,64.0,56.3,12.17
116,provideniya,94,RU,1569648376,82,54.21,39.6,46.99,46.56,3.0
117,mys shmidta,8,AU,1569648151,32,-33.21,138.6,67.97,67.97,11.12
118,namibe,25,AU,1569648040,25,-15.77,128.74,100.4,100.4,11.41
119,saskylakh,100,NZ,1569648010,90,-45.41,167.72,47.9,47.9,7.43
120,taolanaro,100,RU,1569648216,97,63.05,179.32,41.4,41.4,2.04
121,belushya guba,20,MM,1569648378,62,21.98,96.08,89.6,89.6,2.24
122,nome,100,TC,1569648144,76,21.46,-71.14,83.96,83.96,8.28
123,ugoofaaru,60,PH,1569648378,71,17.54,120.52,84.57,84.57,6.51
124,sentyabrskiy,4,MX,1569648292,75,22.89,-109.91,77.0,74.97,3.0
125,komsomolskiy,75,PF,1569648288,74,-17.53,-149.33,82.0,81.75,4.7
126,sabang,100,BR,1569648379,72,-30.17,-50.22,58.07,58.07,11.36
127,ribeira grande,0,GL,1569648379,72,65.42,-52.9,41.03,41.03,7.47
128,severo-kurilsk,0,AR,1569648380,67,-34.46,-58.91,60.8,57.74,12.75
129,hithadhoo,75,CA,1569648380,55,65.28,-126.83,39.2,39.2,3.36
130,cayenne,75,BR,1569648380,83,-12.89,-38.68,77.0,77.0,6.93
131,hambantota,100,BR,1569648299,96,-0.41,-65.02,72.36,72.36,1.41
132,brae,5,CA,1569648216,100,48.41,-89.26,39.0,37.69,4.7
133,wanaka,64,AO,1569648381,25,-14.66,17.68,62.56,62.56,6.17
134,brewster,1,BR,1569648382,93,-6.22,-36.02,64.34,64.34,7.65
135,filimonovo,90,ET,1569648382,93,8.96,38.73,55.4,55.4,2.24
136,jamestown,90,CA,1569648036,93,66.15,-65.72,39.2,39.2,3.04
137,kununurra,26,NU,1569648383,78,-19.06,-169.92,75.2,75.2,11.41
138,te anau,75,RU,1569648383,92,69.49,88.39,35.6,35.6,11.18
139,barentsburg,0,FR,1569648383,87,47.55,-2.56,60.01,58.78,6.93
140,beringovskiy,40,CO,1569648384,78,11.24,-74.21,82.4,82.4,4.7
141,cumaribo,5,ID,1569648356,51,-5.36,104.98,87.61,87.61,8.52
142,mandalay,91,RU,1569648385,70,67.8,130.41,23.44,23.44,1.92
143,cockburn town,1,US,1569648385,87,55.34,-131.65,51.8,50.02,5.82
144,one hundred mile house,1,US,1569648385,69,19.71,-155.08,82.4,76.12,3.36
145,san quintin,100,GN,1569648385,98,10.08,-12.83,72.38,72.38,2.55
146,cabo san lucas,0,AR,1569648386,29,-45.87,-67.48,60.8,60.8,18.34
147,tiarei,90,US,1569648386,88,39.95,-94.76,69.01,65.55,11.41
148,cidreira,75,OM,1569648013,74,17.01,54.1,82.4,82.4,6.93
149,maniitsoq,2,EC,1569648387,86,-0.74,-90.35,68.0,68.0,5.99
150,pilar,97,AR,1569648387,70,-38.31,-60.23,52.67,52.67,15.35
151,norman wells,0,RU,1569648387,32,51.28,114.93,49.61,49.61,11.27
152,itaparica,100,RU,1569648036,51,59.36,143.24,47.44,47.44,9.8
153,santa isabel do rio negro,88,PH,1569648310,90,17.41,121.44,73.21,73.21,2.57
154,haibowan,12,CN,1569648294,14,42.84,93.51,85.83,85.83,8.72
155,thunder bay,100,RU,1569648286,78,61.28,108.01,37.1,37.1,5.77
156,menongue,46,AU,1569648103,9,-20.73,139.49,93.2,93.2,13.87
157,burica,90,CA,1569648388,100,63.75,-68.52,37.4,37.18,4.79
158,santa cruz,90,FR,1569648389,93,49.65,0.71,57.2,55.9,12.75
159,lebu,0,ML,1569648389,12,18.9,-3.53,87.09,87.09,4.5
160,pangnirtung,0,DZ,1569648390,10,27.87,-0.29,80.6,80.6,5.82
161,warqla,0,PG,1569648390,83,-4.34,152.27,81.29,81.29,1.88
162,alofi,90,TO,1569648390,94,-18.65,-173.98,71.6,71.6,3.36
163,talnakh,75,NG,1569648391,94,6.46,3.39,73.4,73.4,3.15
164,ambon,0,TL,1569648391,47,-8.93,125.41,85.0,85.0,6.42
165,santa marta,5,CA,1569648391,92,68.22,-135.01,30.2,30.2,4.7
166,pringsewu,20,BR,1569648242,94,-6.97,-34.84,71.6,71.6,2.24
167,dzhusaly,100,BR,1569648392,94,-0.97,-62.93,72.78,72.78,0.81
168,batagay-alyta,97,RU,1569648392,81,53.47,51.47,43.37,43.37,9.01
169,ketchikan,90,MX,1569648392,100,16.38,-93.6,71.6,71.6,3.13
170,hilo,20,RU,1569648393,48,42.9,133.91,71.23,71.23,5.7
171,galle,46,IE,1569648292,85,55.25,-7.27,55.32,55.32,12.01
172,comodoro rivadavia,100,NZ,1569648393,44,-43.53,172.64,64.0,61.45,12.75
173,kodiak,90,CL,1569648393,76,-23.65,-70.4,57.2,57.2,5.82
174,salalah,40,SA,1569648015,68,18.39,42.45,66.2,65.34,6.93
175,puerto ayora,0,KZ,1569648394,70,52.04,76.93,48.2,48.2,8.95
176,barrow,2,AU,1569648005,29,-23.53,148.16,89.01,88.34,6.93
177,mogoytuy,0,BR,1569648395,94,-9.67,-35.74,69.8,69.8,3.36
178,okhotsk,5,CA,1569648232,79,50.56,-96.99,43.0,40.78,9.78
179,tabuk,75,CA,1569648184,77,43.26,-79.87,71.01,64.54,8.05
180,hami,0,RO,1569648395,53,43.97,25.33,64.0,64.0,2.68
181,yerbogachen,0,GL,1569648396,67,65.61,-37.64,37.4,37.4,5.48
182,mount isa,76,PG,1569648396,93,-10.62,150.67,76.92,76.92,7.65
183,iqaluit,100,AR,1569648396,68,-40.81,-62.99,59.5,59.5,22.88
184,veraval,0,LY,1569648396,40,26.59,12.77,74.13,74.13,7.02
185,araouane,90,MX,1569648397,83,20.71,-105.21,84.2,83.57,8.81
186,attawapiskat,28,RU,1569648397,49,52.99,116.91,46.08,46.08,8.97
187,kazalinsk,0,IR,1569648397,14,32.94,50.12,66.37,66.37,5.77
188,adrar,55,ID,1569648381,64,4.47,97.97,82.55,82.55,4.12
189,kokopo,90,US,1569648398,87,60.79,-161.76,48.2,48.2,9.17
190,neiafu,11,IT,1569648398,88,36.95,14.61,66.2,65.01,4.7
191,ngukurr,97,RU,1569648398,78,57.28,55.46,36.51,36.51,10.92
192,lagos,0,PT,1569648399,77,37.14,-8.45,64.99,61.54,3.36
193,airai,74,RU,1569648399,75,66.0,57.56,35.3,35.3,5.79
194,aklavik,90,FR,1569648399,93,45.6,-0.6,59.0,56.1,8.05
195,cabedelo,90,RU,1569648400,100,64.73,177.51,44.6,44.28,6.71
196,barcelos,49,IN,1569648400,67,23.26,68.83,86.44,86.44,2.24
197,kinel-cherkassy,90,CL,1569648130,100,-41.87,-73.83,48.2,48.2,16.11
198,champerico,90,US,1569648400,100,44.06,-103.15,51.01,45.37,3.6
199,preobrazheniye,75,JP,1569648307,100,24.34,124.16,75.2,75.2,8.05
200,carndonagh,0,IS,1569648296,87,63.84,-22.43,44.6,41.77,14.99
201,christchurch,48,AU,1569648401,67,-34.72,135.86,54.13,54.13,8.9
202,antofagasta,0,ES,1569648401,77,36.01,-5.6,71.01,64.53,3.36
203,faya,55,RU,1569648402,71,70.62,147.9,30.79,30.79,5.44
204,aksu,20,GR,1569647704,82,39.45,22.34,59.0,56.07,4.7
205,emerald,0,ZA,1569648402,14,-32.16,25.62,67.88,67.88,3.71
206,catamarca,100,IN,1569648402,62,15.78,80.32,88.13,88.13,5.55
207,maceio,90,CA,1569648403,100,47.66,-52.73,54.0,52.32,20.8
208,husavik,75,AU,1569648403,41,-43.03,147.26,59.0,57.38,11.41
209,hamilton,90,FR,1569648403,93,47.13,-0.65,57.99,56.35,6.93
210,alexandria,39,AR,1569648404,65,-36.62,-64.29,59.06,59.06,14.05
211,tasiilaq,100,GA,1569648405,87,-3.44,10.65,76.4,76.4,9.13
212,samarai,0,EC,1569648405,83,-0.9,-89.6,67.88,67.88,11.43
213,viedma,0,ZW,1569648405,33,-16.82,29.68,66.3,66.3,6.24
214,awbari,1,US,1569648253,78,39.47,-87.41,77.0,73.22,5.82
215,ixtapa,100,GH,1569648214,91,4.87,-2.24,76.61,76.61,8.72
216,bukachacha,4,RU,1569648406,67,60.71,114.91,40.99,40.99,6.51
217,fereydunshahr,100,BF,1569648406,83,11.19,-1.09,71.99,71.99,1.79
218,langsa,99,LR,1569648406,94,6.75,-11.37,76.61,76.61,5.1
219,bethel,100,MX,1569648407,71,23.99,-104.67,64.99,64.99,10.0
220,comiso,100,MG,1569648407,99,-14.66,49.65,63.4,63.4,0.85
221,osa,40,AU,1569648408,31,-23.13,150.74,87.8,87.8,5.82
222,lagoa,40,AU,1569648408,19,-28.95,153.24,89.6,85.35,11.41
223,usinsk,0,CN,1569648408,28,28.88,112.34,88.93,88.93,3.98
224,souillac,90,FI,1569648409,93,62.42,25.95,44.6,44.28,1.12
225,yanan,75,US,1569648409,83,21.35,-158.09,84.0,81.66,4.7
226,anadyr,1,US,1569648409,75,60.55,-151.26,43.0,40.84,3.36
227,naliya,0,CA,1569648409,93,44.38,-64.32,50.0,47.8,3.53
228,ancud,14,ID,1569648410,63,-0.69,100.95,81.36,81.36,5.41
229,rapid valley,1,US,1569648410,88,29.7,-91.21,82.4,77.34,3.36
230,ishigaki,45,PK,1569648410,20,27.8,66.62,85.76,85.76,3.78
231,grindavik,1,BR,1569648411,94,-5.1,-38.37,69.4,69.4,4.05
232,port lincoln,1,US,1569648127,93,43.66,-70.25,59.0,52.7,3.62
233,tarifa,62,CA,1569648411,77,54.77,-101.88,29.52,29.52,6.22
234,chokurdakh,92,RU,1569648395,74,71.64,128.87,33.11,33.11,13.8
235,saint george,75,US,1569648412,33,35.17,-103.73,73.4,71.98,8.05
236,cradock,85,NO,1569648412,78,62.83,10.01,51.01,50.5,1.01
237,vetapalem,100,MX,1569648412,92,15.74,-96.47,75.0,75.0,1.72
238,malwan,40,BR,1569648413,94,-10.93,-37.66,78.8,78.8,10.29
239,torbay,43,LY,1569648413,66,31.21,16.59,78.16,78.16,4.76
240,margate,0,NG,1569648413,83,11.99,8.53,77.0,77.0,11.41
241,coron,97,UA,1569648414,86,50.18,27.07,50.71,50.71,10.83
242,santa rosa,0,GL,1569648414,45,69.22,-51.1,46.4,46.4,17.22
243,mayumba,5,BR,1569648414,90,-23.65,-47.57,63.0,60.98,12.28
244,puerto baquerizo moreno,0,ID,1569648117,73,-9.11,124.89,78.86,78.86,12.66
245,karoi,81,GB,1569648415,82,51.86,-4.31,60.8,58.32,28.86
246,marcona,0,FR,1569648415,82,46.42,3.91,55.4,53.89,2.24
247,terre haute,90,CA,1569648415,59,53.22,-106.39,35.6,35.6,3.36
248,axim,65,TR,1569648415,87,41.38,33.78,51.23,51.23,4.94
249,lensk,0,AU,1569648416,20,-34.29,146.06,68.0,67.03,12.75
250,banon,40,PG,1569648416,83,-9.47,147.16,82.4,82.4,17.22
251,robertsport,85,RU,1569648416,72,50.53,42.67,48.0,47.34,1.99
252,crab hill,20,JP,1569648416,47,43.19,140.77,79.0,78.22,6.93
253,constitucion,20,DE,1569648417,93,50.07,8.95,57.99,54.93,10.29
254,andapa,90,AU,1569648417,77,-33.86,121.89,64.4,64.4,13.87
255,labrea,100,HN,1569648418,96,14.68,-86.92,66.68,66.68,3.56
256,yeppoon,45,BR,1569648418,94,-21.64,-41.05,64.03,64.03,2.08
257,codrington,78,GB,1569648419,87,54.28,-0.41,54.0,53.06,13.87
258,tianpeng,67,CF,1569648419,88,10.3,22.78,75.01,75.01,3.65
259,laukaa,90,CA,1569648280,91,54.14,-115.68,32.0,32.0,3.36
260,makakilo city,75,RU,1569648419,80,53.14,59.15,41.0,41.0,13.42
261,kenai,84,NO,1569648420,83,70.86,29.09,40.99,40.99,19.55
262,lunenburg,0,MX,1569648420,85,27.97,-114.04,67.83,67.83,19.64
263,bardiyah,100,RU,1569648420,70,58.84,125.49,36.85,36.85,13.98
264,sijunjung,93,AR,1569648421,91,-38.55,-58.74,46.34,46.34,15.17
265,morgan city,84,NA,1569648421,12,-24.14,19.11,62.88,62.88,14.34
266,khuzdar,100,NZ,1569648421,72,-46.28,169.85,53.01,53.01,17.0
267,morada nova,100,RU,1569648421,94,69.38,178.42,39.93,39.93,4.23
268,portland,43,RU,1569648422,41,49.23,41.83,54.53,54.53,6.24
269,flin flon,21,NE,1569648422,11,18.69,12.92,86.58,86.58,6.29
270,tiksi,0,AU,1569648422,48,-16.92,145.77,88.0,83.91,14.99
271,tucumcari,0,PT,1569648423,87,39.36,-9.38,60.8,59.76,9.17
272,paradwip,36,CG,1569648423,96,1.61,16.05,70.6,70.6,6.22
273,berkak,99,CF,1569648423,92,8.07,22.4,70.24,70.24,2.84
274,pochutla,75,LR,1569648424,94,5.88,-10.05,77.0,77.0,11.34
275,horta,75,IN,1569648424,88,17.53,78.27,82.4,81.3,6.93
276,surt,66,MX,1569648424,44,23.82,-100.72,71.32,71.32,7.52
277,kano,100,CA,1569648425,84,46.12,-70.67,53.01,49.32,8.21
278,shepetivka,100,NZ,1569648425,79,-42.52,172.83,41.69,41.69,10.94
279,ilulissat,25,BO,1569648425,42,-14.83,-64.9,71.43,71.43,1.52
280,salto de pirapora,30,CA,1569648426,65,60.75,-137.51,29.33,29.33,0.94
281,atambua,40,ID,1569648269,83,-8.65,115.22,82.4,82.4,17.22
282,carmarthen,0,EE,1569648426,83,59.1,26.19,46.0,46.0,7.67
283,saint-francois,66,ID,1569648426,42,0.12,117.47,96.31,96.31,2.08
284,shellbrook,99,RU,1569648427,92,65.85,44.24,40.54,40.54,12.06
285,kastamonu,96,UA,1569648427,85,49.92,27.76,50.01,50.01,9.35
286,griffith,20,US,1569648159,74,20.89,-156.47,82.4,77.18,14.99
287,port moresby,0,RU,1569648428,51,66.42,112.4,37.4,37.4,4.47
288,novoanninskiy,75,FR,1569648428,82,41.93,8.74,73.4,68.52,3.36
289,yoichi,90,FR,1569648428,93,48.95,4.24,57.2,56.1,16.11
290,hainburg,40,BB,1569648399,78,13.22,-59.52,82.4,82.4,14.99
291,grand river south east,75,AU,1569648429,60,-31.43,152.91,71.01,68.5,19.46
292,esperance,40,CN,1569648429,9,40.29,97.04,83.51,83.51,14.05
293,san cristobal,75,IN,1569648429,94,25.33,76.51,77.0,77.0,2.24
294,kamenskoye,20,GL,1569648174,69,60.91,-46.05,37.4,37.4,5.82
295,sao joao da barra,75,MY,1569648430,62,1.24,111.46,89.6,87.57,4.7
296,scarborough,0,RU,1569648430,76,45.23,147.88,59.1,59.1,11.48
297,birao,3,CA,1569648430,79,50.63,-96.99,37.99,37.99,9.75
298,whitecourt,62,RU,1569648431,48,56.36,114.84,34.92,34.92,7.72
299,svetlogorsk,100,MG,1569648431,92,-14.27,50.17,72.74,72.74,2.28
300,berlevag,1,US,1569648224,76,40.7,-99.08,57.0,55.35,11.41
301,guerrero negro,0,PT,1569648348,77,37.02,-7.94,64.99,63.97,3.36
302,nizhniy kuranakh,1,US,1569648432,93,41.14,-73.36,68.0,58.84,4.21
303,necochea,90,ES,1569648432,78,28.66,-17.92,73.4,73.4,10.29
304,aranos,100,HN,1569648388,98,14.25,-87.96,64.55,64.55,4.21
305,kaitangata,3,BR,1569648433,96,-9.01,-35.22,67.76,67.76,4.03
306,leningradskiy,94,RU,1569648433,34,56.71,104.25,44.36,44.36,6.46
307,samusu,20,CA,1569648287,62,50.7,-127.42,53.6,53.6,13.87
308,bokovskaya,7,PF,1569648434,83,-16.48,-151.75,79.26,79.26,13.04
309,bilma,0,JP,1569648434,68,39.38,140.05,73.4,71.76,4.7
310,cairns,75,NO,1569648184,73,78.22,15.63,26.6,26.6,4.7
311,peniche,0,PY,1569648434,75,-26.98,-56.83,60.63,60.63,6.76
312,ouesso,88,ID,1569648435,41,-2.54,115.51,94.5,94.5,0.43
313,ouadda,100,RU,1569648435,78,55.38,91.62,48.32,48.32,4.79
314,buchanan,1,BR,1569648435,76,-20.63,-46.0,60.61,60.61,4.85
315,patancheru,0,BR,1569648436,85,-29.79,-55.79,51.52,51.52,16.62
316,naftah,100,ET,1569648436,90,8.98,37.85,59.84,59.84,3.27
317,cedral,100,RU,1569648436,88,45.92,47.05,54.83,54.83,8.46
318,saint-georges,73,PG,1569648436,69,-2.67,141.3,82.62,82.62,4.38
319,hanmer springs,1,US,1569648437,79,37.17,-99.65,66.99,66.02,25.99
320,trinidad,52,RU,1569648437,68,52.86,48.6,47.09,47.09,9.35
321,haines junction,1,US,1569648332,93,46.81,-100.78,44.01,40.5,3.36
322,denpasar,97,RU,1569648438,79,53.73,119.76,38.78,38.78,7.72
323,vao,63,ID,1569648438,85,-0.92,100.36,79.24,79.24,16.11
324,bontang,81,CU,1569648438,91,20.71,-78.0,76.06,76.06,1.48
325,ardistan,0,AE,1569648299,52,24.47,54.37,91.4,91.4,5.82
326,mezen,39,SO,1569648439,57,2.62,44.89,83.09,83.09,13.22
327,lyubar,75,FR,1569648439,76,48.94,2.36,57.99,56.37,13.87
328,wulanhaote,40,MX,1569648402,74,21.23,-86.73,82.4,82.18,9.17
329,kahului,86,RU,1569648132,61,71.98,102.47,35.63,35.63,3.98
330,udachnyy,60,LT,1569648440,86,56.08,25.62,48.48,48.48,10.16
331,ajaccio,5,PK,1569648440,43,26.0,63.05,93.01,93.01,7.2
332,saint-pierre,98,ID,1569648441,86,-3.36,135.5,77.01,77.01,0.51
333,bathsheba,0,TR,1569648441,51,36.37,30.29,64.39,64.39,5.32
334,port macquarie,49,CA,1569648441,100,50.25,-96.06,37.99,35.4,8.48
335,yumen,25,OM,1569648441,34,22.93,57.53,88.11,88.11,3.76
336,mangrol,0,UZ,1569648442,17,38.2,67.2,74.78,74.78,7.49
337,narsaq,51,AU,1569648442,32,-27.18,151.26,82.0,81.28,20.8
338,sri aman,20,GH,1569648442,88,5.79,0.9,77.0,77.0,2.24
339,kurilsk,97,NO,1569648443,87,71.03,27.85,38.47,38.47,13.58
340,gimli,51,ZA,1569648443,80,-34.05,23.37,63.08,63.08,4.61
341,taksimo,90,NO,1569648443,93,70.24,22.35,42.8,38.95,1.12
342,lawan kuda baharu,5,MX,1569648444,88,21.05,-89.07,81.0,79.59,11.41
343,sambava,66,IN,1569648444,74,11.67,92.75,83.65,83.65,8.7
344,kearney,18,CN,1569648444,49,40.71,112.04,69.8,69.8,4.47
345,faro,75,IN,1569648445,83,30.69,78.49,78.8,78.8,3.36
346,westport,85,RU,1569648445,71,66.77,123.37,37.52,37.52,3.71
